# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-dev32b

2132.agree, long, 0000000000000000
xuan_xiao_cang.agree, long, 0000000000000000
xuan_xiao_cang.coin, long, 0000000000000001
xuan_xiao_cang.firstjoin, long, 0000000000000001
xuan_xiao_cang.totalc, long, 0000000000000000
xuan_xiao_cang.totalm, long, 0000000000000000
xuelang520.agree, long, 0000000000000000
xuelang520.coin, long, 0000000000000001
xuelang520.firstjoin, long, 0000000000000001
xuelang520.totalc, long, 0000000000000000
xuelang520.totalm, long, 0000000000000000
xyg.agree, long, 0000000000000000
xyg.coin, long, 0000000000000001
xyg.firstjoin, long, 0000000000000001
xyg.totalc, long, 0000000000000000
xyg.totalm, long, 0000000000000000
zhuzai.agree, long, 0000000000000000
zhuzai.coin, long, 0000000000000001
zhuzai.firstjoin, long, 0000000000000001
zhuzai.totalc, long, 0000000000000000
zhuzai.totalm, long, 0000000000000000

taoqi.totalc, long, 0000000000000000
taoqi.totalm, long, 0000000000000000
taoqi.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF0
motian_dada.totalc, long, 0000000000000000
motian_dada.totalm, long, 0000000000000000
motian_dada.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF1
magic_index.totalc, long, 0000000000000000
magic_index.totalm, long, 0000000000000000
magic_index.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF2
mcxiaoshuaipi.totalc, long, 0000000000000000
mcxiaoshuaipi.totalm, long, 0000000000000000
mcxiaoshuaipi.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF3
mu6pnk63.totalc, long, 0000000000000000
mu6pnk63.totalm, long, 0000000000000000
mu6pnk63.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF4
lajibaoxianmo.totalc, long, 0000000000000000
lajibaoxianmo.totalm, long, 0000000000000000
lajibaoxianmo.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF5
playercount, long, FFFFFFFFFFFFFFF4
coraline.totalc, long, 0000000000000000
coraline.totalm, long, 0000000000000000
coraline.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF5
meng_dong.totalc, long, 0000000000000000
meng_dong.totalm, long, 0000000000000000
meng_dong.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF6
baby_chen.totalc, long, 0000000000000000
baby_chen.totalm, long, 0000000000000000
baby_chen.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF7
xiong.totalc, long, 0000000000000000
xiong.totalm, long, 0000000000000000
xiong.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF8
playercount, long, FFFFFFFFFFFFFFF7
playercount, long, FFFFFFFFFFFFFFF6
playercount, long, FFFFFFFFFFFFFFF5
playercount, long, FFFFFFFFFFFFFFF4
playercount, long, FFFFFFFFFFFFFFF3
zhuzai.totalc, long, 0000000000000000
zhuzai.totalm, long, 0000000000000000
zhuzai.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF4
playercount, long, FFFFFFFFFFFFFFF3
lajibaoxianmo.totalc, long, 0000000000000000
lajibaoxianmo.totalm, long, 0000000000000000
lajibaoxianmo.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF4
playercount, long, FFFFFFFFFFFFFFF3
aus1b.totalc, long, 0000000000000000
aus1b.totalm, long, 0000000000000000
aus1b.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF4
money, long, 000000000000178E
money, long, 00000000000017CA
mc_jianyu.totalc, long, 0000000000000000
mc_jianyu.totalm, long, 0000000000000000
mc_jianyu.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF5
danmao.coin, long, 0000000000000001
danmao.firstjoin, long, 0000000000000001
danmao.totalc, long, 0000000000000000
danmao.totalm, long, 0000000000000000
danmao.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF6
playercount, long, FFFFFFFFFFFFFFF5
lajibaoxianmo.totalc, long, 0000000000000000
lajibaoxianmo.totalm, long, 0000000000000000
lajibaoxianmo.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF6
playercount, long, FFFFFFFFFFFFFFF5
danmao.totalc, long, 0000000000000000
danmao.totalm, long, 0000000000000000
danmao.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF6
lsm66.totalc, long, 0000000000000000
